**Custom error code**, **Error detail**, **Error description**
60001, Dictionary {0} not found,
60002, Dictionary name size exceeded maximum size,
60003, Dictionary description size exceeded maximum size,
60004, Dictionary name can't be empty,
60005, Dictionary column not found,
60006, Empty column UUID,
60007, Dictionary column value not found,
60008, Dictionary record {0} not found,
60009, Dictionary {0} archived,
60010, Column value don't match,
60011, Empty custom value not allowed,
60012, columnUuid is not set for template field,
60013, dictionaryUuid is not set for template field,
60014, Dictionary must be locked for processing,
60015, "Expected {0} values in each row, but got {1}",
60016, Dictionary record should contains column values,
60017, Can't change dictionary access to official,
60018, This file format is not supported yet,
60019, Dictionary is locked,
60020, Column name can't be empty,
60021, Column name size exceeded (64),
60022, Column order should be >= 0,
60023, Column value size exceeded (256),
